T1,T2,T3
0.3294,0.2846,0.386
0.257,0.2065,0.5365
0.3096,0.1772,0.5132
0.3836,0.2576,0.3588
0.3596,0.3336,0.3068
0.4588,0.2808,0.2604
0.4564,0.2442,0.2994
0.3811,0.4122,0.2067
0.2424,0.5802,0.1774
0.2084,0.648,0.1436
0.2396,0.3852,0.3752
0.16,0.428,0.412
0.194,0.378,0.428
0.304,0.278,0.418
0.3196,0.2282,0.4522
0.3361,0.4752,0.1887
0.669,0.121,0.21
0.862,0.081,0.057
0.661,0.1992,0.1398
0.4982,0.3234,0.1784
0.3844,0.4248,0.1908
0.4506,0.2421,0.3073
0.4422,0.274,0.2838
0.4204,0.2628,0.3168
0.2288,0.5494,0.2218
0.28,0.339,0.381
0.2175,0.4465,0.336
0.251,0.39,0.359
0.2975,0.4765,0.226
0.5700000000000001,0.18700000000000003,0.24300000000000002
0.3618,0.2488,0.3894
