T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.15,0.171,0.679
0.1825,0.19,0.6275
0.1815,0.194,0.6245
0.1815,0.194,0.6245
0.1815,0.199,0.6195
0.1863,0.2098,0.6039
0.219,0.231,0.55
0.2218,0.2494,0.5288
0.2493,0.2654,0.4853
0.1895,0.235,0.5755
0.1895,0.235,0.5755
0.1975,0.203,0.5995
0.2075,0.201,0.5915
0.1855,0.188,0.6265
0.1855,0.188,0.6265
0.1475,0.192,0.6605
0.1475,0.192,0.6605
0.1475,0.192,0.6605
0.141,0.2385,0.6205
0.141,0.2385,0.6205
0.141,0.2385,0.6205
0.141,0.2385,0.6205
0.141,0.2385,0.6205
0.141,0.2385,0.6205
0.154,0.315,0.531
0.196,0.273,0.531
0.228,0.269,0.503
0.226,0.269,0.505
0.251,0.289,0.46
0.251,0.289,0.46
0.251,0.289,0.46
0.251,0.289,0.46
0.251,0.289,0.46
0.2768,0.318,0.4052
0.362,0.2868,0.3512
0.362,0.2868,0.3512
0.3522,0.287,0.3608
0.295,0.4304,0.2746
0.269,0.4634,0.2676
0.2726,0.428,0.2994
0.2726,0.428,0.2994
0.285,0.4122,0.3028
0.3123,0.3869,0.3008
0.3123,0.3869,0.3008
0.2687,0.3779,0.3534
0.2376,0.3874,0.375
0.2161,0.415,0.3689
